Name,Category,EarliestLicDate,Expires,FullAddress,Neighbourhood,LAT,LONG,gislink,IssuedYear,ExpiredYear
0948362 BC LTD,Automotive,20121022,20221231,"492 CECELIA RD
VICTORIA BC  V8T 4T5",Burnside,48.44407087,-123.376276,10744010,2012,2022
"558717 BC LTD
MACS AUTO ELECTRIC",Automotive,20120208,20211231,"496 BAY ST
VICTORIA BC  V8T 5H2",Burnside,48.43563985,-123.373743,017-727-880,2012,2021
ADVANCE AUTO CENTRE,Automotive,20120117,20221231,"750 DISCOVERY ST
VICTORIA BC  V8T 1H2",Burnside,48.43221798,-123.3626219,1014024,2012,2022
ADVANCE COLLISION LTD,Automotive,20120112,20221231,"741 PEMBROKE ST
VICTORIA BC  V8T 1H7",Burnside,48.43254705,-123.3626348,1014007,2012,2022
"ALFA ROMEO OF VICTORIA / MASERATI OF VICTORIA /
FIAT OF VICTORIA",Automotive,20181213,20221231,"737 SUMMIT AVE
VICTORIA BC  V8T 5L6",Burnside,48.4424653,-123.3682718,V06901015,2018,2022
ALLOY WHEEL REPAIR LTD,Automotive,20180829,20221231,"201-620 FINLAYSON ST
VICTORIA BC  V8T 5C8",Burnside,48.44498549,-123.3726879,10737021,2018,2022
AUDI VICTORIA / AUDI AUTOHAUS,Automotive,20130612,20221231,"2929 DOUGLAS ST
VICTORIA BC  V8T 4M8",Burnside,48.4424653,-123.3682718,V06901015,2013,2022
AUDY AUTOBODY VICTORIA INC,Automotive,20130404,20221231,"511 GORGE RD E
VICTORIA BC  V8T 2W5",Burnside,48.440157,-123.3725549,10710002,2013,2022
AUTO F/X ACCESSORIES,Automotive,20120302,20221231,"1-416 GARBALLY RD
VICTORIA BC  V8T 2K1",Burnside,48.44036994,-123.375408,018-502-008,2012,2022
AUTO OBSESSIONS CUSTOMS INC,Automotive,20130219,20221231,"554 ALPHA ST
VICTORIA BC  V8Z 1B2",Burnside,48.44722356,-123.3751772,10739019,2013,2022
AUTO SERVICES,Automotive,20140130,20221231,"624 QUEENS AVE
VICTORIA BC  V8T 1M1",Burnside,48.43449884,-123.3661129,1053015,2014,2022
AUTOSPIEL GERMAN AUTO SPECIALTY LTD,Automotive,20120113,20221231,"3-2333 GOVERNMENT ST
VICTORIA BC  V8T 4P4",Burnside,48.43486017,-123.3663362,1053019,2012,2022
B A S BEETLE AUTO SERVICE LTD,Automotive,20120110,20221231,"629 DAVID ST
VICTORIA BC  V8T 2C9",Burnside,48.43842535,-123.3690431,10708004,2012,2022
BOYD AUTOBODY & GLASS,Automotive,20121130,20211231,"540 JOHN ST
VICTORIA BC  V8T 1T6",Burnside,48.43675631,-123.3714657,10713022,2012,2021
BRIAN ROBERTS AUTO ELECTRIC LTD,Automotive,20120220,20221231,"720 PRINCESS AVE
VICTORIA BC  V8T 1K6",Burnside,48.43361881,-123.3637185,1012034,2012,2022
BROCO AUTO GLASS & UPHOLSTERY,Automotive,20120531,20221231,"2405 DOUGLAS ST
VICTORIA BC  V8T 4L8",Burnside,48.43510251,-123.3647895,1010017,2012,2022
BUDGET BRAKE & MUFFLER,Automotive,20120816,20221231,"2445 DOUGLAS ST
VICTORIA BC  V8T 4L8",Burnside,48.43544474,-123.3649716,1010001,2012,2022
CAMPUS HONDA VICTORIA,Automotive,20200309,20221231,"506 FINLAYSON ST
VICTORIA BC  V8T 5C8",Burnside,48.44471836,-123.3739586,10737019,2020,2022
CB'S AUTOTECH COLLISION & AUTOBODY REPAIR CENTRE LTD,Automotive,20131223,20221231,"2804 ROCK BAY AVE
VICTORIA BC  V8T 4S1",Burnside,48.43855518,-123.3705813,10711027,2013,2022
CEDAR HILL AUTO SERVICES,Automotive,20120124,20221231,"3030 NANAIMO ST
VICTORIA BC  V8T 4Z1",Burnside,48.44351611,-123.366795,9689003,2012,2022
CHARGED AUTO REPAIR,Automotive,20180720,20221231,"2905 BRIDGE ST
VICTORIA BC  V8T 4T2",Burnside,48.43906523,-123.3727847,000-195-189,2018,2022
CJ'S AUTOBLING INC,Automotive,20160429,20221231,"6-415 DUNEDIN ST
VICTORIA BC  V8T 5G8",Burnside,48.44052092,-123.3760621,023-874-180,2016,2022
COACHWERKS RESTORATION,Automotive,20170713,20221231,"543 HILLSIDE AVE
VICTORIA BC  V8T 1Y8",Burnside,48.43688742,-123.371741,10713002,2017,2022
CRAFTSMAN COLLISION (1981) LTD,Automotive,20130108,20221231,"2935 BRIDGE ST
VICTORIA BC  V8T 4T2",Burnside,48.43954864,-123.3728348,10710018,2013,2022
D.K MOTORS,Automotive,20190319,20221231,"430 BURNSIDE RD E
VICTORIA BC  V8T 2X2",Burnside,48.44602071,-123.3770427,10742013,2019,2022
DENTEX PAINTLESS DENT REMOVAL LTD,Automotive,20161201,20221231,"735 PRINCESS AVE
VICTORIA BC  V8T 1K5",Burnside,48.43318321,-123.3632199,1013008,2016,2022
DERICKS AUTOMOTIVE SERVICES LTD,Automotive,20121126,20221231,"638 JOHN ST
VICTORIA BC  V8T 1T9",Burnside,48.43735289,-123.3683806,10707012,2012,2022
DIVERSITY AUTO FILMS,Automotive,20121114,20211231,"112-2740 BRIDGE ST
VICTORIA BC  V8T 5C5",Burnside,48.43728551,-123.3740042,10723012,2012,2021
DUNSMUIR SUPER SERVICE (2004) LTD,Automotive,20120104,20221231,"639 PEMBROKE ST
VICTORIA BC  V8T 1H5",Burnside,48.43250363,-123.3656514,1050002,2012,2022
ELLICE AUTOMOTIVE LTD,Automotive,20121205,20221231,"545 JOHN ST
VICTORIA BC  V8T 5B4",Burnside,48.43623725,-123.3713955,10715003,2012,2022
FERNY'S AUTO BODY,Automotive,20121121,20221231,"728 PEMBROKE ST
VICTORIA BC  V8T 1H8",Burnside,48.43297322,-123.3632749,1013018,2012,2022
FIAT OF VICTORIA,Automotive,20210630,20221231,"2555 GOVERNMENT ST
VICTORIA BC  V8T 4P6",Burnside,48.43716747,-123.3668361,9698023,2021,2022
FORWARD AUTO GALLERY,Automotive,20120103,20221231,"746 CALEDONIA AVE
VICTORIA BC  V8T 1E5",Burnside,48.43137988,-123.3624701,1015007,2012,2022
FORWARD AUTOMOTIVE LTD,Automotive,20130118,20221231,"746 CALEDONIA AVE
VICTORIA BC  V8T 1E5",Burnside,48.43137988,-123.3624701,1015007,2013,2022
FOUNTAIN AUTO REPAIR LTD,Automotive,20120104,20221231,"462 BURNSIDE RD E
VICTORIA BC  V8T 2X2",Burnside,48.44577906,-123.3765429,10742011,2012,2022
FOUNTAIN TIRE,Automotive,20121224,20221231,"458 CECELIA RD
VICTORIA BC  V8T 4T5",Burnside,48.44459549,-123.3773671,10744013,2012,2022
GAIN COLLISION,Automotive,20180814,20221231,"B-543 HILLSIDE AVE
VICTORIA BC  V8T 1Y8",Burnside,48.43688742,-123.371741,10713002,2018,2022
GLENOAK FORD SALES LTD,Automotive,20120529,20221231,"2829 DOUGLAS ST
VICTORIA BC  V8T 4M6",Burnside,48.43972295,-123.366759,9693017,2012,2022
GRAHAM KIA VICTORIA,Automotive,20120110,20221231,"2620 GOVERNMENT ST
VICTORIA BC  V8T 4P8",Burnside,48.43761607,-123.3681302,10707006,2012,2022
GREAT CANADIAN OIL CHANGE,Automotive,20190319,20221231,"2353 DOUGLAS ST
VICTORIA BC  V8T 4L6",Burnside,48.43454651,-123.3645421,V00101025,2019,2022
GURMAIL AUTO BODY,Automotive,20120106,20221231,"C-627 DUNEDIN ST
VICTORIA BC  V8T 2L7",Burnside,48.44134507,-123.3711588,10729004,2012,2022
INDEPENDENT IMPORT AUTO,Automotive,20180620,20221231,"1-2925 BRIDGE ST
VICTORIA BC  V8T 4T2",Burnside,48.43906523,-123.3727847,000-195-120,2018,2022
ISLAND COLOR,Automotive,20120124,20221231,"740 PRINCESS AVE
VICTORIA BC  V8T 1K6",Burnside,48.4335749,-123.3629878,1012023,2012,2022
ISLAND DETAIL,Automotive,20121106,20221231,"740 PRINCESS AVE
VICTORIA BC  V8T 1K6",Burnside,48.4335749,-123.3629878,1012023,2012,2022
ISLAND MOTOR SPORT LTD,Automotive,20120124,20221231,"632 JOHN ST
VICTORIA BC  V8T 1T9",Burnside,48.43731232,-123.3686202,10707013,2012,2022
ISLAND MUFFLER SALES SERVICE & MANUFACTURING LTD,Automotive,20130108,20221231,"677 BURNSIDE RD E
VICTORIA BC  V8T 2X9",Burnside,48.44207991,-123.3701783,10730012,2013,2022
JAS TOORA AUTOMOTIVE & TRANSMISSION SERVICES LTD,Automotive,20120104,20221231,"552 DAVID ST
VICTORIA BC  V8T 2C8",Burnside,48.43843089,-123.3716638,10711026,2012,2022
JIFFY LUBE,Automotive,20180221,20221231,"708 BAY ST
VICTORIA BC  V8T 1R2",Burnside,48.43594956,-123.3651848,9697024,2018,2022
JIM PATTISON LEXUS VICTORIA,Automotive,20150106,20221231,"623 FINLAYSON ST
VICTORIA BC  V8T 0C1",Burnside,48.4443253,-123.372064,10736001,2015,2022
JIM PATTISON TOYOTA VICTORIA,Automotive,20130108,20221231,"3050 DOUGLAS ST
VICTORIA BC  V8T 4N4",Burnside,48.4443253,-123.372064,10736001,2013,2022
JIMMY EDDIE REPAIRS LTD,Automotive,20130422,20221231,"3-721 PEMBROKE ST
VICTORIA BC  V8T 1H7",Burnside,48.43253218,-123.3636294,1014023,2013,2022
KAL TIRE STORE #685,Automotive,20120828,20221231,"2882 DOUGLAS ST
VICTORIA BC  V8T 4M9",Burnside,48.44128994,-123.369119,10729012,2012,2022
K-TECH AUTOMOTIVE INC,Automotive,20200220,20211231,"645 DUNEDIN ST
VICTORIA BC  V8T 2L7",Burnside,48.44146606,-123.3702123,10729008,2020,2021
KZ  AUTO GROUP,Automotive,20150729,20221231,"548 ALPHA ST
VICTORIA BC  V8Z 1B2",Burnside,48.44715595,-123.3755118,10739017,2015,2022
KZ AUTO GROUP INC,Automotive,20170718,20221231,"540 ALPHA ST
VICTORIA BC  V8Z 1B2",Burnside,48.44710582,-123.375657,10739016,2017,2022
LEGACY AUTO,Automotive,20150609,20221231,"478 BAY ST
VICTORIA BC  V8T 5H2",Burnside,48.43563985,-123.373743,017-727-669,2015,2022
LIMAS AUTOBODY AND GLASS,Automotive,20211115,20221231,"453 BETA ST
VICTORIA BC  V8Z 1A9",Burnside,48.44585352,-123.3758537,10742006,2021,2022
LIMA'S BODY AND PAINT LTD,Automotive,20120420,20211231,"453 BETA ST
VICTORIA BC  V8Z 1A9",Burnside,48.44585352,-123.3758537,10742006,2012,2021
MALIBU MOTORS (1995) LTD,Automotive,20120106,20221231,"2515 LUDGATE ST
VICTORIA BC  V8T 4S2",Burnside,48.43640031,-123.3702807,10714015,2012,2022
MARTY SMITH MOTORS,Automotive,20120326,20221231,"A-601 ALPHA ST
VICTORIA BC  V8Z 1B5",Burnside,48.44680701,-123.3748213,10738053,2012,2022
MIDAS,Automotive,20190326,20221231,"2700 GOVERNMENT ST
VICTORIA BC  V8T 4P9",Burnside,48.43831227,-123.3678482,10708008,2019,2022
MURRAY'S AUTOMOTIVE,Automotive,20121126,20221231,"603 ALPHA ST
VICTORIA BC  V8Z 1B5",Burnside,48.44684754,-123.3746014,10738002,2012,2022
NIXON BROS TRUCK REPAIR LTD,Automotive,20121128,20221231,"400 BURNSIDE RD E
VICTORIA BC  V9A 1A8",Burnside,48.44682556,-123.378693,10739002,2012,2022
PACIFIC MAZDA,Automotive,20170104,20221231,"2829 DOUGLAS ST
VICTORIA BC  V8T 4M6",Burnside,48.43972295,-123.366759,9693017,2017,2022
PARKER'S AUTO BODY & PAINT LTD,Automotive,20120112,20221231,"3032 JUTLAND RD
VICTORIA BC  V8T 2T2",Burnside,48.44304631,-123.3758122,10746014,2012,2022
PARKSIDE MOTORS LTD,Automotive,20121224,20221231,"519 ELLICE ST
VICTORIA BC  V8T 2G8",Burnside,48.43869684,-123.3720594,10711007,2012,2022
PENINSULA CO-OP,Automotive,20121211,20221231,"628 GORGE RD E
VICTORIA BC  V8T 2W6",Burnside,48.43955425,-123.3687508,10728003,2012,2022
PLATINUM CHOICE AUTOMOTIVE INC,Automotive,20210812,20221231,"2992 DOUGLAS ST
VICTORIA BC  V8T 4N4",Burnside,48.44352915,-123.3705483,10736004,2021,2022
PRE TECH COLLISION LTD,Automotive,20121205,20221231,"3164 GAMMA ST
VICTORIA BC  V8Z 6J6",Burnside,48.44645749,-123.3754538,10741012,2012,2022
PRESTIGE AUTO DETAILING,Automotive,20170728,20221231,"570 JOHN ST
VICTORIA BC  V8T 1T6",Burnside,48.43689393,-123.3707539,10713015,2017,2022
PROGRESSIVE MOTORSPORTS LTD,Automotive,20120110,20221231,"422 BURNSIDE RD E
VICTORIA BC  V8T 2X1",Burnside,48.44631799,-123.377743,10740005,2012,2022
R&W MOTORSPORT LTD,Automotive,20170418,20221231,"552 ALPHA ST
VICTORIA BC  V8Z 1B2",Burnside,48.44720137,-123.3753438,10739018,2017,2022
SHC AUTOGRAPHX LTD,Automotive,20121130,20221231,"474 BAY ST
VICTORIA BC  V8T 5H2",Burnside,48.43563985,-123.373743,017-727-642,2012,2022
SIGNATURE PLUS AUTOMOTIVE CENTER,Automotive,20141014,20191231,"570 JOHN ST
VICTORIA BC  V8T 1T6",Burnside,48.43689393,-123.3707539,10713015,2014,2019
SIGNATURE PLUS DETAILING,Automotive,20130327,20221231,"4-3131 DELTA ST
VICTORIA BC  V8Z 1A6",Burnside,48.44577071,-123.3749325,10743019,2013,2022
SILVER ARROW CARS LTD.,Automotive,20150828,20221231,"565 DAVID ST
VICTORIA BC  V8T 2C7",Burnside,48.43809158,-123.3707642,10712010,2015,2022
SIMOES AUTOMOTIVE,Automotive,20201218,20221231,"454 BETA ST
VICTORIA BC  V8Z 1B1",Burnside,48.44619663,-123.3754248,10741010,2020,2022
SOLID MOTORS LTD,Automotive,20200730,20221231,"510 GORGE RD E
VICTORIA BC  V8T 2W6",Burnside,48.44039341,-123.3721768,10728001,2020,2022
SOUTH ISLAND CAR CONNECTION,Automotive,20170731,20221231,"601 ALPHA ST
VICTORIA BC  V8Z 1B5",Burnside,48.44680701,-123.3748213,10738053,2017,2022
SPEEDY AUTO SERVICE,Automotive,20170922,20221231,"2992 DOUGLAS ST
VICTORIA BC  V8T 4N4",Burnside,48.44352915,-123.3705483,10736004,2017,2022
T C MOTORS,Automotive,20121220,20221231,"2520 ROCK BAY AVE
VICTORIA BC  V8T 4R6",Burnside,48.43651463,-123.3696865,10714007,2012,2022
TESLA MOTORS CANADA ULC,Automotive,20210203,20221231,"2224 DOUGLAS ST
VICTORIA BC  V8T 4L5",Burnside,48.43384163,-123.3650274,1052008,2021,2022
THE RECYCLE SHOP.CA,Automotive,20120817,20221231,"629 DUNEDIN ST
VICTORIA BC  V8T 2L7",Burnside,48.44134507,-123.3711588,10729004,2012,2022
THREE POINT MOTORS,Automotive,20121211,20221231,"2546 GOVERNMENT ST
VICTORIA BC  V8T 4P7",Burnside,48.43683224,-123.3680613,10706016,2012,2022
TIMMIS MOTOR COMPANY SALES LTD,Automotive,20120104,20211231,"2300 DOUGLAS ST
VICTORIA BC  V8T 4L7",Burnside,48.43434715,-123.3651781,1053012,2012,2021
TIRES UNLIMITED,Automotive,20121005,20221231,"620 GORGE RD E
VICTORIA BC  V8T 2W6",Burnside,48.43959678,-123.3697071,10728008,2012,2022
TOP ROW AUTO SALES,Automotive,20210406,20221231,"629 DUNEDIN ST
VICTORIA BC  V8T 2L7",Burnside,48.44134507,-123.3711588,10729004,2021,2022
TOWNSIDE AUTOMOTIVE LTD,Automotive,20130118,20221231,"640 HILLSIDE AVE
VICTORIA BC  V8T 1Z2",Burnside,48.43819347,-123.3684591,10708010,2013,2022
U-HAUL INSPECTIONS LTD,Automotive,20121128,20221231,"776 TOPAZ AVE
VICTORIA BC  V8T 2M1",Burnside,48.4425681,-123.3653635,9686014,2012,2022
VANCOUVER ISLAND GLASS,Automotive,20220318,20221231,"453 BETA ST
VICTORIA BC  V8Z 1A9",Burnside,48.44585352,-123.3758537,10742006,2022,2022
VANGUARD AUTO SERVICES INC,Automotive,20160602,20201231,"D-589 BAY ST
VICTORIA BC  V8T 1P5",Burnside,48.43540729,-123.3698763,1054017,2016,2020
VAN-ISLE AUTO BROKERS,Automotive,20170531,20211231,"510 GORGE RD E
VICTORIA BC  V8T 2W6",Burnside,48.44039341,-123.3721768,10728001,2017,2021
VICTORIA AUTO SERVICE CENTRE,Automotive,20180214,20221231,"712 BAY ST
VICTORIA BC  V8T 1R2",Burnside,48.43598238,-123.3647507,V06971013,2018,2022
VICTORIA CAR WASH LTD,Automotive,20120112,20221231,"628 GORGE RD E
VICTORIA BC  V8T 2W6",Burnside,48.43955425,-123.3687508,10728003,2012,2022
VICTORIA HYUNDAI,Automotive,20190417,20221231,"525 GORGE RD E
VICTORIA BC  V8T 2W5",Burnside,48.44003251,-123.3726164,10710023,2019,2022
VICTORIA HYUNDAI,Automotive,20190501,20221231,"2810 ROCK BAY AVE
VICTORIA BC  V8T 4S1",Burnside,48.43871298,-123.3706506,10711012,2019,2022
WESTERN WHEELCRAFT VANCOUVER ISLAND,Automotive,20170221,20221231,"4-3165 GAMMA ST
VICTORIA BC  V8Z 6J6",Burnside,48.44653343,-123.3745298,10738043,2017,2022
WHEATON CHEVROLET BUICK CADILLAC GMC LTD,Automotive,20130118,20221231,"2867 DOUGLAS ST
VICTORIA BC  V8T 4M7",Burnside,48.44086435,-123.3673149,9693001,2013,2022
YELLOW JACKET INTERIORS,Automotive,20161208,20221231,"698 SUMAS ST
VICTORIA BC  V8T 4S6",Burnside,48.44096822,-123.3719739,10729020,2016,2022
CHEK MEDIA GROUP,Broadcasting,20130118,20221231,"780 KINGS RD
VICTORIA BC  V8T 5A2",Burnside,48.43732749,-123.3636743,9696022,2013,2022
1015712 BC LTD,Business Services,20220502,20221231,"409 DAVID ST
VICTORIA BC  V8T 2C6",Burnside,48.43731057,-123.3748519,10723011,2022,2022
1184136 BC LTD,Business Services,20190102,20221231,"411 HILLSIDE AVE
VICTORIA BC  V8T 1Y6",Burnside,48.4365218,-123.3745116,10720005,2019,2022
